Component,Qty,Link
V6 Hotend Set (E3D Clone),1,https://www.amazon.in/Hotend-1-75mm-Bowden-printer-extruder/dp/B07L8ZGYVF/ref=sr_1_3?crid=140ZRIDGEH19T&dib=eyJ2IjoiMSJ9.tvnm9Ro3AnW1ZVAx-ao4tk5kLd0ZiiBYF9GbAW5egLWOYqPSiX6tzm9RVRPGCfHcnv3xoHVOS4hJquAsVrypDa5ksHY_ts5JYRTnhwaXZQrOhoc7HlQjQ57NDzYCVaadyFbY47gFztFhpEXYv-8GThdiWP8vDvr-9QiYFNCpVs0YR6RHr-wSJyjjkx8anGmE4PZ8nZOoVipUr7FEGp0QidI9LUqE-C1gpc8zh0gkhkBgTnNRGjV8ihFYRD-X1KDQWarJRBbmkdmCHOxjASIeNdKKsEgjf6n8WnEt8oX1qn30Bo5_GXEi2ytcAGbFaSczcuMCuvXZ5BALuPinVUBPPJ-pDnGkJXRrSbSgRM43bcC1lRw2_lfVPW9M0VW-mrSHA2YT4aRjCPv68N5Y9DNaogTn6-iek3zjBDbBxPueCIjDS-tL-KvTjygOf2KqpDL8l.nKHJ_-TERMuflVqur02z8IXrBVHT1Hz9Wa0_sX6ZMVU
V6 Hotend Aluminum Bracket,1,https://www.alibaba.com/product-detail/3DSWAY-3D-Printer-Parts-Ender3-CR10_1600378787811.html?spm=a2700.galleryofferlist.normal_offer.d_title.1ed413a0VVHPh6
CHT 0.4mm Nozzle (Clone),1,https://www.alibaba.com/product-detail/2025-3D-Printer-Nozzle-Brass-Nozzle_1601252356453.html?spm=a2700.galleryofferlist.normal_offer.d_title.730513a0DQWlfo
Endstop Limit Switches,3,https://www.amazon.in/Electronicspices-10pcs-Momentary-Roller-Switch/dp/B08KFLLJ54/ref=sr_1_1?crid=140LTQNA2W83K&dib=eyJ2IjoiMSJ9.1xsonDR7lSI0ywZ9eNUQYt75d-MKVIWXEr0Z5PwaGlYvwKlXsxf4GG0Zo33QtxvbSrB0Wc-Rqh1Rj1kOoY47fmJNIvsavQivKjydSzQEyHqDiLbucflbDv7iwIoIK0ageObF0_mCYqctrfHLxeGsQBwFo4xQ0v7OC8Xk9qhSi9yDdx7ECl9nP7ypLDPLZ0TlmFNss37MyjPIyZVGbmRrNNhTMV3CKluD4o1kKbKx-ImKw_omI_hqAyohaYXvrymhtgXrTRqA8rY1dnvpIG-V3ZgtR9CdK7JnPeN88WriiE_epp01rwEXlCqJ1B_W-lYO2xC-eZt2p6cwIm5Z5VLh5IYSFhgaq96JuOk_DygT1L1aLtcf0uIAzrIz2zQYKjvvKU-3N2MVNNJQj3nhfMQXRoMVmsFlW5Fw8W-yulqBwXxKp65wKFWaCXPIbFi0zqrN.CuF_bRTPBGZrxImB-MutROHmx2zl2HQkdE9-VvDdDEU
4010 24V Cooling Fan,1,https://www.alibaba.com/product-detail/6025-DC-24V-Cooling-Fan-12V_1601038828315.html?spm=a2700.galleryofferlist.normal_offer.d_image.34d213a0LHWZij
GT2 Timing Belt (Set),2,https://www.alibaba.com/product-detail/Black-3D-Printing-GT2-Open-Timing_1600981302273.html?spm=a2700.galleryofferlist.normal_offer.d_title.405a13a03hE1bt
20T Stepper Pulley (GT2),2,https://robu.in/product/aluminum-gt2-timing-pulley-for-6mm-belt-20-tooth-5mm-bore-2pcs/?utm_source=robu.in
16T Idler Pulley (GT2),6,https://mechblock.in/p/gt2-dual-bearing-aluminum-smooth-idler-pulley/
16T Smooth Idler Pulley (GT2),2,https://www.alibaba.com/product-detail/3D-Printer-Accessories-GT2-6mm-Idler_1600881347867.html
5mm Coupler,1,https://www.amazon.in/xcluma-Aluminum-Flexible-Couplings-Accessory/dp/B098QXP7HG
M3 Threaded Heat Insert Set,1,https://robu.in/product/m3-x-4-mm-brass-heat-set-knurl-threaded-round-insert-nut-25-pcs/
M3 Washer Set,1,https://robu.in/product/easymech-m3-ss-plain-washer-50pcs/
"1x1"" Steel Tubular",1,https://www.indiamart.com/proddetail/ms-square-steel-pipe-6899623930.html
"1"" Steel Flatbar",1,getting this from irl shop
2020 Aluminum Profile,1,https://robu.in/product/easymech-20x20-t-slot-aluminium-extrusion-profile-500-mm/?utm_source=chatgpt.com
2020 M3 T-Slot Nuts (Set),1,https://www.amazon.in/Global-Automate-Aluminium-Extrusion-Zinc-Plated/dp/B0861DSTBF/ref=sr_1_2?crid=2DUGNT2GPOE1H&dib=eyJ2IjoiMSJ9.la2hLikTEuFYM4iXdzB2T21kGkDL-m0iNvqms0MEUHEUMJDapnc2_Ye8MbosKIVNADHkicsDp_w3pglp-HA-uSqDqFR5hXsTrSJUdAfrP6vX6k3X5T3aKI9la3bJfSo_GDAvepcBWpWK6Fqu264rxkk8yVGwbp2X66UYq5uV0UxpKkcVHKpvFYgnkfOjQ5Esl5U4YnUxFjiF5fGZeL6vQhKX6GXaiRLMV9D9c6-sbaDsoczGrsDo27SGfJJLj7JJeGLt_k3SfuJEtilRMSucNY6Pwhs5oKQ5b3muULb9Z-55RxwALPpSR8rDXPGlcx4EXNxnPYbHROS0KU-ANg4T5NOE40A4sejtw_WeC_JWxjl2P5YfErqtBR-yH_oa1Ef1vYyqV7GJQlKG52EJiCBGsgto7XDAy3DQbrkHogfME5oHsJ-WFMUD5fiTBiu_3y43.HdDnGO1kz_-3EkhWMXoaPwMvtPLFHKzVGzMfk1CK5c4
Generic ABS Filament,1,https://www.amazon.in/Polykart-PLA-Filament-Dimensional-Accuracy/dp/B0CJBN2H5Y/ref=sr_1_1_sspa?dib=eyJ2IjoiMSJ9.jlOdZ3d3esf5FmaEgr-5B2eu2XQyZ-YSY_n8-Z1AM_o2E2hCvYQwkeIh1d4I8mCLcPFZT6VtR11KTXYOhuuJmdLZM23ZS9fCcAF1umnJHzPWx8ZHp1jVpseb4KoQi1mjYGuj7Khoz0Fj0qjK79jSSPxmLk5c7BiUThh_7D9NnSKbfdi8MARCyeGbQgedMdegPo3mapRye7-GBD2EuasTIlyT-F6ibqDoTDx_3C37hISFosP_879e_JxTydCET9GDn35tyOYB7AZn370VmrcKhZtJZCwHZWXdh_JwdvLOXBc.nUkFSVKGZ_7Vie-J6OuaLgChs3ejYXlsZ_mMYxobq_k
BL-Touch Bed Levelling Sensor,1,https://robu.in/product/3d-touch-auto-leveling-sensor/
